iter	Passed	Remaining
840	540962	745512
841	541550	744792
842	541916	743769
843	542514	743064
844	543150	742413
845	543788	741764
846	544336	740991
847	544992	740367
848	545623	739708
849	546324	739144
850	547059	738627
851	547681	737955
852	548332	737324
853	548979	736687
854	549642	736071
855	550303	735452
856	550840	734668
857	551411	733930
858	552061	733297
859	552759	732727
860	553435	732128
861	554087	731498
862	554808	730958
863	555466	730336
864	556088	729665
865	556714	729000
866	557346	728343
867	557962	727665
868	558513	726902
869	558881	725904
870	559243	724897
871	559902	724277
872	560479	723551
873	561178	722983
874	561931	722483
875	562694	721995
876	563485	721544
877	564229	721031
878	564904	720429
879	565501	719728
880	566150	719094
881	566777	718432
882	567467	717849
883	568169	717281
884	568791	716612
885	569441	715979
886	570062	715309
887	570683	714639
888	571354	714031
889	572015	713412
890	572671	712785
891	573335	712170
892	574049	711615
893	574667	710941
894	575320	710311
895	575950	709653
896	576604	709024
897	577083	708180
898	577785	707609
899	578474	707024
900	578948	706175
901	579427	705334
902	580134	704769
903	580802	704159
904	581428	703496
905	582078	702862
906	582722	702222
907	583370	701586
908	584103	701052
909	584742	700406
910	585383	699761
911	586022	699113
912	586653	698458
913	587118	697604
914	587761	696963
915	588431	696353
916	588987	695609
917	589591	694922
918	590274	694327
919	590873	693633
920	591476	692945
921	592118	692303
922	592771	691673
923	593383	690996
924	593950	690267
925	594652	689693
926	595023	688738
927	595668	688099
928	596370	687527
929	597011	686884
930	597623	686208
931	598257	685556
932	598874	684885
933	599477	684200
934	600122	683562
935	600769	682926
936	601412	682285
937	602125	681723
938	602798	681117
939	603433	680467
940	603965	679701
941	604483	678920
942	605135	678290
943	605829	677707
944	606480	677076
945	607074	676381
946	607700	675721
947	608048	674754
948	608637	674055
949	609242	673373
950	609902	672752
951	610449	672007
952	611119	671397
953	611611	670593
954	612234	669932
955	612880	669296
956	613495	668627
957	614148	667998
958	614736	667299
959	615312	666588
960	615954	665948
961	616656	665373
962	617158	664582
963	617848	663994
964	618517	663384
965	619136	662719
966	619780	662081
967	620377	661394
968	621029	660765
969	621685	660139
970	622234	659402
971	622908	658795
972	623588	658196
973	624065	657383
974	624736	656773
975	625198	655945
976	625829	655295
977	626483	654668
978	627202	654109
979	627823	653448
980	628484	652829
981	629141	652205
982	629759	651541
983	630360	650859
984	631011	650230
985	631654	649591
986	632292	648949
987	632943	648318
988	633310	647398
989	633796	646600
990	634492	646017
991	635137	645381
992	635582	644543
993	636238	643918
994	636933	643334
995	637611	642732
996	638252	642093
997	638892	641453
998	639528	640808
999	640173	640173
1000	640842	639562
1001	641489	638928
1002	642101	638260
1003	642741	637619
1004	643115	636716
1005	643666	635988
1006	644371	635412
1007	645038	634799
1008	645694	634175
1009	646260	633462
1010	646963	632885
1011	647650	632290
1012	648180	631543
1013	648796	630881
1014	649397	630203
1015	650040	629566
1016	650404	628659
1017	651030	628007
1018	651677	627375
1019	652140	626566
1020	652787	625933
1021	653222	625099
1022	653791	624393
1023	654499	623819
1024	655170	623210
1025	655580	622354
1026	656220	621716
1027	656829	621049
1028	657474	620415
1029	658048	619715
1030	658702	619090
1031	659313	618425
1032	659854	617695
1033	660321	616896
1034	660887	616189
1035	661555	615578
1036	662112	614864
1037	662719	614197
1038	663319	613522
1039	663989	612913
1040	664631	612278
1041	665209	611583
1042	665873	610969
1043	666587	610399
1044	667230	609765
1045	667879	609136
1046	668506	608487
1047	669117	607824
1048	669799	607224
1049	670280	606444
1050	670935	605821
1051	671594	605201
1052	672214	604546
1053	672581	603664
1054	673124	602941
1055	673762	602303
1056	674406	601669
1057	675069	601054
1058	675737	600442
1059	676407	599832
1060	676968	599127
1061	677579	598464
1062	678210	597820
1063	678851	597184
1064	679307	596387
1065	679890	595701
1066	680252	594822
1067	680809	594114
1068	681474	593501
1069	681992	592759
1070	682668	592155
1071	683271	591488
1072	683916	590858
1073	684572	590236
1074	685191	589583
1075	685834	588950
1076	686442	588288
1077	687096	587665
1078	687632	586940
1079	688216	586258
1080	688816	585589
1081	689345	584860
1082	690004	584242
1083	690638	583602
1084	691300	582986
1085	691972	582378
1086	692683	581803
1087	693253	581109
1088	693822	580415
1089	694423	579748
1090	694794	578889
1091	695494	578305
1092	696114	577654
1093	696751	577017
1094	697360	576357
1095	697999	575722
1096	698553	575016
1097	699186	574377
1098	699838	573753
1099	700474	573115
1100	701187	572540
1101	701903	571968
1102	702561	571348
1103	703192	570706
1104	703862	570096
1105	704432	569405
1106	704962	568682
1107	705652	568088
1108	706341	567493
1109	706984	566861
1110	707602	566209
1111	708255	565585
1112	708869	564930
1113	709506	564292
1114	710125	563642
1115	710806	563040
1116	711467	562422
1117	712176	561842
1118	712803	561197
1119	713414	560539
1120	714081	559926
1121	714707	559281
1122	715358	558654
1123	715933	557969
1124	716585	557344
1125	717111	556621
1126	717698	555945
1127	718352	555322
1128	718962	554664
1129	719510	553959
1130	720160	553332
1131	720761	552668
1132	721414	552044
1133	722086	551435
1134	722740	550811
1135	723335	550142
1136	723935	549477
1137	724545	548820
1138	725158	548166
1139	725688	547449
1140	726317	546807
1141	726953	546170
1142	727594	545536
1143	728142	544834
1144	728733	544163
1145	729195	543397
1146	729838	542765
1147	730349	542036
1148	730826	541282
1149	731490	540666
1150	732141	540042
1151	732764	539396
1152	733423	538776
1153	734082	538157
1154	734703	537510
1155	735310	536852
1156	735926	536202
1157	736539	535549
1158	737250	534967
1159	737889	534333
1160	738495	533676
1161	739052	532982
1162	739589	532275
1163	740243	531652
1164	740926	531050
1165	741586	530431
1166	742193	529774
1167	742857	529158
1168	743478	528512
1169	744132	527889
1170	744757	527244
1171	745227	526491
1172	745844	525842
1173	746466	525197
1174	747028	524509
1175	747696	523896
1176	748393	523303
1177	749083	522705
1178	749739	522083
1179	750371	521444
1180	750924	520750
1181	751607	520147
1182	752253	519518
1183	752864	518865
1184	753529	518249
1185	754178	517623
1186	754857	517016
1187	755503	516387
1188	756174	515775
1189	756817	515144
1190	757376	514456
1191	757982	513800
1192	758700	513219
1193	759333	512582
1194	760017	511978
1195	760667	511351
1196	761304	510716
1197	761954	510090
1198	762651	509494
1199	763282	508854
1200	763872	508188
1201	764445	507510
1202	765074	506870
1203	765738	506252
1204	766347	505598
1205	766906	504911
1206	767578	504299
1207	768273	503702
1208	768996	503123
1209	769682	502519
1210	770210	501813
1211	770851	501180
1212	771476	500537
1213	771936	499787
1214	772489	499097
1215	773144	498474
1216	773811	497859
1217	774456	497228
1218	775102	496599
1219	775822	496017
1220	776387	495336
1221	777029	494704
1222	777647	494057
1223	778214	493378
1224	778901	492774
1225	779502	492116
1226	780117	491467
1227	780754	490832
1228	781397	490201
1229	782009	489550
1230	782489	488817
1231	783140	488191
1232	783605	487449
1233	784134	486747
1234	784757	486104
1235	785406	485477
1236	786105	484881
1237	786772	484265
1238	787402	483626
1239	788041	482993
1240	788754	482404
1241	789401	481776
1242	790073	481163
1243	790694	480518
1244	791184	479794
1245	791814	479155
1246	792365	478469
1247	793009	477838
1248	793618	477187
1249	794264	476558
1250	794925	475938
1251	795596	475324
1252	796218	474681
1253	796858	474048
1254	797419	473368
1255	798121	472772
1256	798754	472135
1257	799414	471514
1258	800056	470883
1259	800622	470206
1260	801278	469583
1261	801938	468962
1262	802648	468370
1263	803314	467752
1264	803946	467114
1265	804572	466474
1266	805228	465850
1267	805875	465221
1268	806530	464596
1269	807137	463945
1270	807716	463277
1271	808359	462646
1272	808735	461862
1273	809376	461230
1274	810031	460606
1275	810576	459919
1276	811295	459331
1277	811973	458720
1278	812620	458091
1279	813280	457470
1280	813897	456824
1281	814449	456142
1282	815064	455496
1283	815688	454854
1284	816333	454224
1285	817035	453626
1286	817670	452990
1287	818304	452354
1288	818961	451731
1289	819599	451097
1290	820265	450478
1291	820941	449865
1292	821596	449241
1293	822214	448595
1294	822855	447963
1295	823487	447326
1296	824114	446686
1297	824726	446038
1298	825422	445435
1299	826089	444817
1300	826702	444169
1301	827343	443537
1302	827820	442817
1303	828449	442178
1304	828914	441452
1305	829287	440678
1306	829749	439951
1307	830402	439326
1308	831054	438700
1309	831622	438030
1310	832239	437386
1311	832856	436741
1312	833511	436117
1313	834180	435500
1314	834830	434873
1315	835546	434280
1316	836119	433613
1317	836746	432974
1318	837295	432295
1319	837955	431674
1320	838610	431049
1321	839250	430417
1322	839883	429781
1323	840314	429042
1324	840975	428421
1325	841596	427779
1326	842273	427166
1327	842918	426537
1328	843617	425934
1329	844313	425330
1330	844968	424706
1331	845613	424076
1332	846325	423480
1333	846947	422839
1334	847611	422218
1335	848268	421594
1336	848635	420826
1337	849325	420219
1338	850078	419643
1339	850729	419016
1340	851348	418373
1341	851978	417736
1342	852608	417098
1343	853240	416462
1344	853862	415821
1345	854547	415211
1346	855194	414581
1347	855855	413959
1348	856507	413332
1349	857175	412713
1350	857774	412061
1351	858393	411419
1352	859042	410791
1353	859697	410165
1354	860171	409454
1355	860821	408826
1356	861457	408192
1357	862109	407565
1358	862673	406897
1359	863173	406199
1360	863808	405564
1361	864427	404922
1362	865017	404267
1363	865668	403639
1364	866386	403044
1365	867021	402409
1366	867683	401787
1367	868199	401098
1368	868750	400424
1369	869395	399794
1370	870040	399165
1371	870702	398543
1372	871368	397922
1373	872013	397292
1374	872384	396538
1375	872950	395872
1376	873601	395245
1377	874208	394599
1378	874758	393926
1379	875328	393263
1380	875945	392621
1381	876556	391976
1382	877260	391373
1383	877924	390752
1384	878538	390108
1385	879180	389478
1386	879771	388824
1387	880431	388201
1388	880985	387532
1389	881641	386907
1390	882163	386224
1391	882820	385599
1392	883425	384952
1393	884143	384354
1394	884763	383714
1395	885398	383080
1396	886047	382452
1397	886741	381844
1398	887416	381227
1399	888079	380605
1400	888728	379977
1401	889376	379348
1402	889975	378699
1403	890588	378055
1404	891121	377378
1405	891769	376750
1406	892416	376121
1407	893035	375480
1408	893687	374854
1409	894260	374194
1410	894966	373589
1411	895708	373000
1412	896353	372370
1413	897006	371743
1414	897618	371100
1415	897989	370357
1416	898686	369749
1417	899374	369136
1418	900069	368527
1419	900740	367908
1420	901409	367287
1421	902052	366656
1422	902673	366017
1423	903131	365311
1424	903786	364685
1425	904420	364051
1426	905062	363420
1427	905772	362816
1428	906456	362202
1429	907042	361548
1430	907583	360876
1431	908190	360232
1432	908843	359605
1433	909530	358991
1434	910201	358371
1435	910824	357733
1436	911469	357103
1437	912100	356467
1438	912815	355864
1439	913463	355235
1440	914112	354607
1441	914762	353978
1442	915327	353317
1443	915978	352689
1444	916587	352045
1445	917205	351405
1446	917920	350801
1447	918489	350142
1448	919134	349511
1449	919759	348874
1450	920359	348227
1451	920970	347583
1452	921667	346973
1453	922337	346352
1454	922861	345676
1455	923299	344969
1456	923959	344344
1457	924612	343717
1458	925265	343090
1459	925641	342360
1460	926266	341723
1461	926916	341095
1462	927571	340468
1463	928298	339868
1464	928935	339235
1465	929598	338612
1466	930283	337996
1467	930992	337389
1468	931656	336766
1469	932269	336124
1470	932823	335461
1471	933443	334822
1472	934099	334195
1473	934667	333538
1474	935316	332909
1475	935941	332271
1476	936585	331641
1477	937207	331002
1478	937849	330371
1479	938516	329748
1480	939174	329123
1481	939880	328514
1482	940542	327889
1483	941127	327238
1484	941820	326624
1485	942439	325984
1486	943082	325354
1487	943738	324727
1488	944375	324094
1489	945051	323473
1490	945748	322861
1491	946367	322221
1492	947023	321594
1493	947603	320942
1494	948243	320309
1495	948800	319649
1496	949270	318960
1497	949910	318327
1498	950641	317725
1499	951354	317118
1500	952027	316496
1501	952652	315859
1502	953345	315244
1503	953944	314598
1504	954579	313964
1505	955235	313337
1506	955879	312706
1507	956496	312066
1508	957210	311458
1509	957898	310841
1510	958594	310226
1511	959208	309585
1512	959881	308963
1513	960529	308333
1514	961141	307692
1515	961595	307000
1516	962229	306365
1517	962867	305732
1518	963504	305099
1519	964119	304458
1520	964746	303822
1521	965369	303184
1522	966041	302561
1523	966713	301939
1524	967328	301299
1525	967886	300640
1526	968590	300028
1527	969247	299401
1528	969899	298772
1529	970504	298128
1530	971127	297490
1531	971782	296862
1532	972350	296208
1533	972790	295515
1534	973453	294889
1535	974123	294266
1536	974737	293626
1537	975369	292991
1538	975916	292331
1539	976579	291705
1540	977160	291055
1541	977792	290420
1542	978437	289789
1543	979072	289156
1544	979687	288516
1545	980334	287886
1546	980968	287251
1547	981647	286631
1548	982245	285986
1549	982876	285351
1550	983536	284724
1551	984145	284083
1552	984717	283431
1553	985430	282819
1554	986133	282205
1555	986810	281583
1556	987463	280954
1557	988076	280314
1558	988589	279645
1559	989149	278990
1560	989764	278351
1561	990418	277723
1562	991069	277093
1563	991506	276404
1564	992036	275741
1565	992692	275114
1566	993342	274484
1567	993808	273804
1568	994526	273193
1569	995021	272521
1570	995661	271889
1571	996283	271252
1572	996907	270616
1573	997610	270001
1574	998316	269386
1575	998972	268759
1576	999647	268136
1577	1000350	267520
1578	1000976	266884
1579	1001462	266211
1580	1002040	265562
1581	1002537	264892
1582	1003065	264231
1583	1003713	263601
1584	1004293	262953
1585	1004918	262317
1586	1005526	261677
1587	1006178	261048
1588	1006847	260424
1589	1007491	259793
1590	1007957	259116
1591	1008556	258474
1592	1009231	257851
1593	1009920	257231
1594	1010579	256604
1595	1011300	255993
1596	1011927	255357
1597	1012559	254723
1598	1013216	254096
1599	1013854	253463
1600	1014479	252827
1601	1015184	252211
1602	1015821	251579
1603	1016287	250903
1604	1016640	250201
1605	1017229	249556
1606	1017849	248920
